,company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,payrate,skills,uniq_id
1948,RS IT Services,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","descript : should good experi ecommerce, payment gateway third parti payment integration. also experi affili integration, joomla,wordpress oscommerce. wordpress,drupal,magento plus. should good skill innov idea meet deadlines. good team player php4,5, mysql, jquery, ajax, css, xhtml(div), joomla, magento, oscommerce, drupal, wordpress. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - ecommerc , internet technolog role category:program & design role:softwar develop keyskil mysql ajax jqueri joomla drupal wordpress xhtml magento oscommerc div desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: RS IT servic RS IT servic one lead softwar servic companies, world, provid end-to-end content manag content transform servic includ high qualiti digit typesetting, e-publish (sgml, xml), data convers , xbrl, filing, web applic , epub convers relat servic book journals, variou publishers, press corporate, around world. download ppt photo 1 view contact detail",12410,"['Noida', ',', 'Noida/Greater', 'Noida']",Web Developer,-,html css javascript vue js react node angular frontend,6291
1949,CareerMate,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']","atori skill : experi drupal custom modul joomla moodle. strong knowledg mvc, mysql, oracle, javascript, html, css, web services, soap, unix, zend framework abil work minim direct senior web applic develop design, development, coding, testing, debug new softwar exist softwar experi oracle, mysql, larg scale applic develop desir skills: specif technic qualif includ experi two differ php frameworks, jquery, ajax, java/jsp, sourc code version control, web product environ experi perl, strong understand variou sdlc methodologies, abil multitask, leadership skill major plu previou technic skill content manag system (cms) development, javascript, html, css, unix, svn, trac, wikis, web 2. 0 particip develop softwar document version descript document user manual good verbal written commun skill salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil java oracl unix javascript html mysql ajax jsp perl develop desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: careerm careerm download ppt photo 1 view contact detail",12901,"['Bengaluru/Bangalore', ',', 'Bengaluru', '/', 'Bangalore', ',', 'Delhi', ',', 'Mumbai']",PHP Developer,-,php javascript css web development html,3206
1950,Red Logics Technologies Pvt Ltd,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['IT-Software ', ' Software Services']","description: evalu test new softwar applic accord busi function requirements. provid document variou test scenario cases. perform system testing, function testing, UI testing, regress testing, browser test & devic testing. prepar report commun involv result qualiti assur activities. job requir experi 6 month 1 year test web applic e-commerc solut familiar browser compatibility, load, w3c access test autom testing. experi full softwar develop lifecycl project documentation. experi implement audit test methodolog QA standards. strong analyt interperson skill required. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - QA & test role category:program & design role:test engin keyskil javascript jqueri softwar develop photoshop dreamweav qualiti assur function test system test regress test test scenario desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: red logic technolog pvt ltd red logic technolog one fastest grow modern age IT compani india. sinc inception, abl provid one stop IT solut custom grow business. We offer servic softwar development, web development, ecommerc applications, content manag solutions, creativ design respons present begin end. download ppt photo 1 view contact detail",12411,"['Noida', ',', 'Noida/Greater', 'Noida']",Test Engineer,-,IT Software - QA & Testing,4973
1951,ARCHELONS Consulting Private Limited,"UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 ,"['Recruitment ', ' Staffing']","respons To lead team recruiters, sr. recruit & TL front face client receive/ understand/ cascad requirements. training/ mentor new team member team target setting. motiv team member / resolv queri / problem escal handl respons conduct first level screen organisationrsquo demand understand screen demand skill within area responsibility. forg excel connect relationship client drive key slarsquo metrics. identify, drive support variou process level initi ensur strong MI reporting. mentor, coach motiv team desir candid profil : graduat post graduat 4 year relev experi 2 year team handl excel oral written communication; strong analyt data manag skills; proactiv self-manag attent detail focu high qualiti output salary: not disclos recruit industry: recruit / staf function area: ite , bpo , kpo , lpo , custom servic , oper role category:back office/web/transact process role:assist manager/manager-(nontechnical) keyskil proactiv tl data manag team handl attent detail metric manag skill screen written commun demand desir candid profil education- ug: ani graduat pg:mba/pgdm doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: archelon consult privat limit found 2006, archelon regard innov leader recruit industry. our client includ softwar technolog centric companies, product start-ups, manufactur automobil companies, automot dealers, engin contractor oil & ga operators. headquart gurgaon, archelon busi offic across india, uae south korea. our team consist industri domain expert indepth knowledg vari rang recruit process practic help us excel recruit also enabl us understand translat busi need key deliver responses. our focu alway innovative, measur value-ad recruit solut maxim client return uniqu state-of-the-art recruit model. our servic design help you: attract best match talent , extend reach not-so-obvi candid better connect resources. download ppt photo 1 view contact detail",12238,"['Bengaluru/Bangalore', ',', 'Bengaluru', '/', 'Bangalore', ',', 'Gurgaon']",Assistant Manager,-,ITES,7500
1952,BrandAppZ,"UG: Diploma PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['IT-Software ', ' Software Services']","descript : sound knowledg adob photoshop, corel draw, adob illustr A portfolio candidatersquo previou work. good commun skill must, english hindi should creativ aesthet sound knowledg facebook relat design concepts. minimum 1 3 year experience. could understand interpret content stun visuals. good sens layout visualization. could creat design for web, mobil social media should abl make e-mailers, websit layouts, microsites, brochur , applic design logo knowledg html, css plu salary: not disclos recruit industry: it-softwar / softwar servic function area: design , creativ , user experi role category:cr role:graph design desir candid profil education- ug: diploma pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: brandappz brandappz download ppt photo 1 view contact detail",11459,"['Gurgaon', ',', 'Gurgaon']",Graphic Designer,-,desgining branding typography communication basic coding graphics,11093
1953,ProIndia Services,"UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['IT-Software ', ' Software Services']","profil candid atleast 2 year experi . net framework c#, wcf, silverlight sql server 2008. should 2 year work experi asp. net, c#, wcf, silverlight. excel experi dnn (dot net nuke) version 5. x above. strong knowledg sql server 2008 sql reporting. the candid graduat recogn university. the candid excel commun skill interperson skills. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil wcf silverlight sql server 2008 dot net nuke asp net excel commun skill asp net c c experi interperson skill desir candid profil education- ug: b.tech/b.e. pg:mca doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: proindia servic found 2003, proindia servic global IT servic provider, global footprint & best-in-class deliveri center india. proindiaservic deploy host innov solut servic architectur across global banking, financi services, insurance,healcar manufactur industries. As economi develop gain much-need experi & expertis manag global sourc arrangements, qualiti IT solut & servic matur rapid pace well. In bid match grow needs, servic provid notic that: download ppt photo 1 view contact detail",12881,"['Gurgaon', ',', 'Gurgaon']",Dot Net Developer,-,database application oop full stack asp.net web development javascript,566
1954,Vinayak Solutions Pvt. Limited,"UG: B.B.A PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']","confident, humbl programm intrigu latest technolog It goe without say know in out ruby, rail aren't dogmat aspect development, even test believ in, write unit test code (bonus: test written first) love ruby' meta program believ web wouldnt without - javascript, jquery, jqueryui are bore object orient design principl aspect know front-end stuff - html, html5, css echo ""are comfort use unix command line"" | sed -e ""s/ / /"" experi build database-driven applic signific user interact open sourc contribution(s) boast work document base nosql databas - redis, mongodb, postgresql explor next gen frontend framework like - backbone, emberj use git, github, bitbucket (and mere branch stashing). previous use jira pivot tracker. basic understand agil methodolog love it. html? css? - who use anymore? your sass less haml build big, robust, scalabl maintain rail app good test coverage. debugging, fix bugs, identifi perform issu improv app performance. continu discover, evaluate, implement new technolog maxim develop efficiency. handl complex technic issu relat web app develop provid solut co-workers. deploy maintain multistage, multiti applications. client interaction, address client needs, project manag help refin intern develop process salary: not disclos recruit industry: it-softwar / softwar servic function area: sale , retail , busi develop role category:institut sale role:sal executive/offic keyskil develop team manag project manag websit co mca handl email front end code desir candid profil education- ug: b.b.a pg:mba/pgdm doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: vinayak solut pvt. limit vinayak solut pvt. limit download ppt photo 1 view contact detail",12739,['Delhi'],Developer,-,Sales,3452
1955,Guru iNfoways Pvt. Ltd.,"UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","r skillset veri strong knowledg php mysql. strong knowledg work oops. strong skill jqueri ajax. creativ logic analyt skills. work knowledg android io would plus. good knowledg html css. creativ thinker. good verbal present skill must. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil php mysql html android ajax jqueri knowledg html css php mysql work desir candid profil education- ug: b.tech/b.e. pg:mca doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: guru infoway pvt. ltd. We creat respons web designs. We websit design compani delhi bring togeth passion, creativ innov stand crowd. download ppt photo 1 view contact detail",10855,"['Delhi', ',', 'Delhi']",Software Developer,-,python java c c++ algorithmic desgin data structures web services full stack web development,6922
1956,AtDrive Group,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","ons architect, design, develop (hands-on) complex infrastructur systems. particip phase softwar develop life cycle. develop implement new product provid inform support required. provid technic architectur leadership one softwar engin teams. educ qualif experi bachelor master degre engineering, special comput science, inform technolog relat field. 2-5 year relev work experi design develop . net applications. skills/compet strong understand softwar design principl architecture. strong knowledg C# . net platform. experi web development: asp. net, html, css, ajax, javascript, jquery, mvc. 3 year experi sql databas design development. work experi window azur / sharepoint plus. must abl work dynamic-fast pace environment. strong problem solv troubleshoot abilities. abil organ priorit multipl task meet deadlines. excel interperson commun skill (verbal written). abil work effect team member. self- motiv abl perform minim supervis salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil sql javascript ajax jqueri troubleshoot mvc web develop databas design inform technolog softwar design desir candid profil education- ug: b.tech/b.e. pg:m.tech doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: atdriv group atdriv india lead outsourc product develop partner technolog consult compani accomplish record area technolog consult develop download ppt photo 1 view contact detail",12186,['Gurgaon'],Senior Software Developer,-,IT Software - Application Programming,10369
1957,Exuberant Technology,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['IT-Software ', ' Software Services']","description: design websit per client requirements. creat web templates. good knowledg user experience, web page optim & cross browser compatibility. mainten websit updat them. creat interfac dynam website. design baneer creat flash animations. salary: not disclos recruit industry: it-softwar / softwar servic function area: design , creativ , user experi role category:cr role:web design keyskil websit optim websit photo shop user experi flash browser compat design web design dream weaver desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: exuber technolog exuber technolog privat own compani offer software, comput internet relat servic variou client india, u.s. europ sinc 2005. our servic solut design focu secure, scalable, expand reliabl busi systems. through low cost, high qualiti reliabl softwar services, serv client give valu money thu client satisfaction. exuber technolog compani work flexibl environ softwar develop process, adjust per clients\' download ppt photo 1 view contact detail",12191,['Noida'],Web Designer,-,css html frontend analytical skills photoshop,8657
1958,Brainwork Technologies,"UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","description: the softwar engin respons translat high- level technic design requir detail design assign function components. the softwar engin respons develop code support modul requir specifi produc execut unit test script code. respons particip assist softwar analysi design write unit test case implement softwar design adher best practic code standard conduct unit test particip assist team leader integr adher defin softwar process understand step reproduc bug (qa interaction) experience/skil 2 - 4 year experi strong technic concept ajax, php, java script, rbdms- mysql, sql server knowledg tool like joomla, wordpress, oscommerce, zencart, drupal addit advantag strong oop technic concept softwar engin concept strong busi communication, analyt interperson skill salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil php linux sql server mysql ajax joomla drupal wordpress oscommerc code desir candid profil education- ug: b.tech/b.e. pg:mca doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: brainwork technolog brainwork technolog download ppt photo 1 view contact detail",12956,['Delhi'],Software Engineer,-,coding c c++ python software testing machine learning deep learning java oop,15042
1959,Web Planet,"UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['Internet ', ' Ecommerce']"," hand experi php, mysql, joomla. should work html, css, java scripts, ajax xml. profici cms, ecommerce, dynam websites. payment gateway integr must. add on - open sourc technology, drupal. knowledg abil handl full project life cycle. salary: not disclos recruit industry: internet / ecommerc function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil xml html ajax joomla drupal cm php mysql project life cycl java script open sourc technolog desir candid profil education- ug: b.tech/b.e. pg:mca doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: web planet We web development, softwar develop consult firm base india & uk, provid custom web development, softwar develop data process solut busi act offshor develop center oversea develop firms. download ppt photo 1 view contact detail",11503,"['Delhi', ',', 'Delhi']",PHP Developer,-,php javascript css web development html,6310
1960,KMSG Technologies,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']","ng analyt conceptu abil experi 3- 5 year develop enterpris applic use jee must havework spring, hibernate, json must depth knowledg layer architectur good knowledg ofsql statement quick learner respons you youngest tech design design code. get chanc challeng statu quo experienc develop provid state- of- art technic solut lead team 1- 2 develop creat world class solut salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil enterpris applic sql hibern strong analyt skill spring quick learner solut knowledg json jee desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: kmsg technolog kmsg technolog download ppt photo 1 view contact detail",10808,"['Noida', ',', 'Noida/Greater', 'Noida']",Java Developer,-,java data structures algorithms advanced java web services,7189
1961,Linchpin Technologies Pvt Ltd,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","xpect profici object-ori program php rubi rail mysql basic knowledg html. We look strong databas background, includ server administr experi strong experi object-ori programming. It would advantag experi with: javascript, jquery, span> p> p> salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil javascript html mysql jqueri rubi rail object orient program php develop server administr basic knowledg desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: linchpin technolog pvt ltd A deep understand IT web servic proven experi bridg design sourc perspect extens websit develop & deploy experi workflow appli advanc sourc global outsourc develop softwar solut special system applic softwar uniqu valu proposit qualiti effect cost. solut compon base multi-ti architectur applic develop system administr softwar windows, unix, linuxenviron use adsi, ldap, C, shell script schedulers. solut web-centric, distribut comput requir expertis window java, ejb , asp, jsp, xml, c#, VB microsoft, ibm, oracl web technologies. download ppt photo 1 view contact detail",12107,"['Noida', ',', 'Noida/Greater', 'Noida']",PHP Developer,-,php javascript css web development html,21848
1962,Web Planet,"UG: Diploma PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['Internet ', ' Ecommerce']"," hand experi php, mysql, joomla. should work html, css, java scripts, ajax xml. profici cms, ecommerce, dynam websites. payment gateway integr must. add on - open sourc technology, drupal. knowledg abil handl full project life cycle. salary: not disclos recruit industry: internet / ecommerc function area: IT softwar - ecommerc , internet technolog role category:program & design role:graphic/web design keyskil cm xml drupal joomla ajax project life cycl php mysql java script open sourc technolog html css desir candid profil education- ug: diploma pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: web planet We web development, softwar develop consult firm base india & uk, provid custom web development, softwar develop data process solut busi act offshor develop center oversea develop firms. download ppt photo 1 view contact detail",11502,"['Delhi', ',', 'Delhi']",Web Designer,-,css html frontend analytical skills photoshop,6188
1963,Swaran Soft Support Solutions Pvt Ltd,"UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['IT-Software ', ' Software Services']","descript :- experi follow technolog ooad/ oop ( object orient programming) php 5, mysql 5, framework like zend/ symfony/ cakephp etc. veri strong understand hands-on dom, html, dhtml, xml, css, javascript, jquery/ prototyp ajax. veri strong understand databas technolog sql optimization. clear understand product develop environ methodologies. exposur understand onlin consum applic relat challenges. familiar web technolog trend ( web 2. 0) evolut internet. strong write & commun ( especi listening) skills. strong leadership & softwar estim skills. detail orient abil organ veri strong analytical, problem-solv innov skills. experi php & mysql develop web base project overal IT experience. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil sql javascript xml ajax develop jqueri product develop ooad cakephp php mysql desir candid profil education- ug: b.tech/b.e. pg:mca doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: swaran soft support solut pvt ltd swaransoft one leader IT solut servic india. found decad ago founder mr. yogesh huja, compani grown leap bound posit trust respect valu customers. download ppt photo 1 view contact detail",12229,"['Gurgaon', ',', 'Gurgaon']",PHP Developer,-,php javascript css web development html,9858
1964,Cantata Technologies Services Pvt. Ltd.,"UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 ,"['IT-Software ', ' Software Services']","description: respons end end busi cycl manag , right lead gener contract signing. understand customers\' divers , specif busi need appli product knowledg meet needs. identifi develop new busi network courtesi follow - calls. cold - call order creat interest product servic gener new busi lead arrang meetings. identifi opportun sale new area develop detail research specif industri market. develop effect sale plan util sale methodology. prepar deliv custom present demonstr softwar , articul confidently. market promot portfolio product write design sale literatur attend industri events. maintain awar keep abreast constantli chang softwar , hardwar system peripherals. meet sale target set managers. network exist custom order maintain link promot addit product upgrades. respond tender document , write propos , report support literature. salary: not disclos recruit industry: it-softwar / softwar servic function area: sale , retail , busi develop role category:retail sale role:sales/busi develop manag keyskil cold call network event peripher document maintain new busi custom time manag skill busi develop manag desir candid profil education- ug: ani graduat pg:mba/pgdm doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: cantata technolog servic pvt. ltd. cantata upcom softwar consulting, technolog servic outsourc company, found run IT profession averag experi around 10 year industri . combin rich experience, comprehens capabl across mani industri busi functions, extens research world success companies, cantata collabor client help becom high-perform busi govern . - see at: http: / / cantata . / company-overview . download ppt photo 1 view contact detail",12104,"['Ghaziabad', ',', 'Ghaziabad']",Business Development Manager,-,strategic skills ms office teamwork communication skills marketing,16475
1965,Data Infovision,"UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['IT-Software ', ' Software Services']","description: p> identif potenti clients. p> arrang meet prospect clients. p> convert lead actual sales. p> make effect propos zero error iterations. valu ad propos consult manag -market busi development. p> achiev busi targets- monthly, quarterli yearli basis. p> p> salary: not disclos recruit industry: it-softwar / softwar servic function area: journal , edit , content role category:cont develop role:cont develop keyskil busi develop english content write good commun skill busi client content writer convert basi market desir candid profil education- ug: ani graduat pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: data infovis data infovis lead technolog solut provider. We serv hundr organ rang sole owner multin ones. although base india implement instal provid solut across globe. data infovis help client connect busi thousand peopl around them. download ppt photo 1 view contact detail",10705,"['Gurgaon', ',', 'Gurgaon']",Content Writer,-,"adaptability research skills seo, search engine optimization editing poetry",171
1966,SINCLAIRS HOTELS & RESORTS,"UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['Travel ', ' Hotels ', ' Restaurants ', ' Airlines ', ' Railways']","descript :. . . . . . . . . candid experi 5 year hotel sale good contact among corpor client travel agenc should graduat . . . . . . fluent spoken written english, well vers internet. . . . . . salary: not disclos recruit industry: travel / hotel / restaur / airlin / railway function area: sale , retail , busi develop role category:retail sale role:sal executive/offic keyskil english fluent hotel sale travel agenc internet sale manag written b f experi desir candid profil education- ug: ani graduat pg:mba/pgdm doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: sinclair hotel & resort sinclair hotel & resort download ppt photo 1 view contact detail",12879,"['Noida', ',', 'Delhi', ',', 'Noida/Greater', 'Noida', ',', 'Faridabad', ',', 'Gurgaon']",Sales Manager,-,marketing communication skills planning abilities analysis delegation,5495
1967,Gajdeva Technologies Pvt. Ltd.,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 ,"['IT-Software ', ' Software Services']","skill requir p> should good php 5 (indexing, scale mysql), oop rdbm concept, lamp li> li> expert javascript, jquery, ajax, xml, soap, json, web-services, api design pattern li> li> strong understand mvc architectur experi (atleast one) yii, zend, cakephp, codeignitor li> li> strong understand shop cart (atleast one) magento, opencart li> li> good knowledg open sourc like wordpress, joomla, drupal. (must abil custom develop themes/ extension/ plug-in/ modules/ widgets/ layout) li> li> experi common third-parti api (google, facebook, ebay etc) li> li> good knowledg version control tools(github, svn) li> li> work cach system (memcached), messag system (rabbit mq) li> li> api integr (payment gateway, ecommerc plugin etc. ) li> li> knowledg url rewrit li> li> can debug code review code written other well li> li> good commun skill (written verbal) would ad advantag li> li> must intellectu fast learner, team player, possess good attitud self-disciplin li> ul> p> salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil api third parti messag mysql facebook xml javascript wordpress googl drupal desir candid profil education- ug: b.tech/b.e. pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: gajdeva technolog pvt. ltd. gajdeva technolog pvt. ltd. web design develop compani india offer creativ innov websit design, respons web design ... download ppt photo 1 view contact detail",12110,"['Delhi', ',', 'Delhi/NCR']",PHP Developer,-,php javascript css web development html,5520
1968,QuestFocus hiring for Leading IT MNC,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization,8 ,"['IT-Software ', ' Software Services']"," java resourc built enterpris applic they UI framework develop experi . ideal need core java experience. javascript front end core java backed.look product development. salary: best In industri industry: it-softwar / softwar servic function area: IT softwar - other role category:program & design role:team lead/techn lead keyskil javascript UI corejava desir candid profil pleas refer job descript education- ug: ani graduat - ani special pg:ani postgradu doctorate:ani doctor - ani special compani profile: questfocu lead IT mnc questfocu special human resourc solutions, invest banking, engin consult inform technolog domains. download ppt photo 1 view contact detail",10365,['Hyderabad'],Java Developer,Best In the Industry,java data structures algorithms advanced java web services,16004
1971,GBG Services (India) Pvt. Ltd.,UG: Any Graduate - Any Specialization,1 ,"['BPO ', ' Call Centre ', ' ITES']","profile: day shift & 5 day week respond custom queri email call provid inform requir work report updat member provid record candid profile: should experi intern call email process excel written verbal commun skills(english) posit attitud good knowledg MS office(m word, excel) good keyboard skills(typ speed-40wpm) salary: not disclos recruit industry: bpo / call centr / ite function area: ite , bpo , kpo , lpo , custom servic , oper role category:voic role:associate/senior associ -(nontechnical) keyskil word type excel MS offic custom support verbal commun commun skill outbound process voic base process desir candid profil pleas refer job descript education- ug: ani graduat - ani special compani profile: gbg servic (india) pvt. ltd. global benefit group largest independent, fulli integr provid intern benefit world. In 2010, gbg celebr 30th year serv need expatriates, third-countri nation local nationals. becaus uniqu underwrit platform, gbg offer multitud insur product - includ health, life, incom replac special risk - individuals, group small 5, larg group size anywher world. As global world' economi continu accelerate, gbg develop custom product desper need intern multin companies. thus, mission simple: To deliv customer-ori insur financi servic product intern commun support concret commit custom service. gbg full-servic administr offic southern california (corpor headquarters); belgrade, serbia; hyderabad, india; london, england; manila, philippines; quito, ecuador; shanghai, china; singapore; vienna, austria. In addition, gbg local field represent brazil, dubai, El salvador, ethiopia, philippines, south korea, thailand, the netherlands, unit kingdom venezuela. gbg busi gener issu via gbg insur limited, offshor captiv domicil guernsey, channel islands. all busi reinsur world-class panel; requir specif regulation, busi issu local domicil insur companies. download ppt photo 1 view contact detail",16372,['Hyderabad'],Customer Support Executive,-,ITES,3064
1972,Tech Mahindra Ltd.,"UG: Any Graduate PG:Post Graduation Not Required, Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Any Specialization, Doctorate Not Required",2 ,"['BPO ', ' Call Centre ', ' ITES']","titl - qualiti analyst depart custom servic summary: respons audit transact across variou custom interact touchpoints. respons identifi provid insight improv process perform maintain high qualiti standards. minimum requir graduat (from educ field) minimum 3 year work experi contact center minimum 1year experi qualiti analyst custom servic oriented. should prior knowledg custom care process techniqu keen eye detail should good aptitud fact find excel coach skill understand qualiti method tool (score calculations, paramet ratings, etc.) should good team player open flexibl shift time 6 day work base busi requir previou work experi e-commerc compani would desir mandatori must possess great interperson skill order interact differ team within organ strong written verbal commun skill good MS offic excel, word power point good aptitud skills- reason logic deliver achiev daily/weekly/monthli target Be align qualiti monitor guidelin share right feedback consult monitor call accur (will measur audit auditor calibr variance) ensur feedback deliv consult within defin timelin should abl identifi trend qualiti perform share recommend share input huddl / brief floor tni follow random monitor salary: not disclos recruit industry: bpo / call centr / ite function area: ite , bpo , kpo , lpo , custom servic , oper role category:qu role:qu coach keyskil qualiti monitor qualiti analysi custom servic custom care feedback contact center custom interact commun skill verbal commun qualiti standard desir candid profil pleas refer job descript education- ug: ani graduat pg:post graduat not required, ani postgradu doctorate:ani doctor - ani specialization, ani specialization, doctor not requir compani profile: tech mahindra ltd. tech mahindra part US $15.4 billion mahindra group lead global system integr busi transform consult organization, focus primarili telecommun industry. tech mahindra help compani innov transform leverag uniqu insights, differenti servic flexibl partner models. thi help custom reduc oper costs, gener new revenu stream gain competit advantage. tech mahindra expand IT portfolio 2009 acquir lead global busi inform technolog servic company, mahindra satyam (earlier known satyam comput services). tech mahindraã¢â‚¬â„¢ capabl spread across broad spectrum, includ busi support system (bss), oper support system (oss), network design & engineering, next gener networks, mobil solutions, secur consult testing. tech mahindraã¢â‚¬â„¢ solut portfolio includ consulting, applic develop & management, network services, solut integration, product engineering, infrastructur manag services, remot infrastructur manag bsg (compris bpo, servic consulting). with array servic offer tsps, tem isvs, tech mahindra chosen transform partner sever lead wireline, wireless broadband oper europe, asia-pacif north america. tech mahindra success implement 16 greenfield oper global 130 activ custom engag mostli telecom sector. the compani involv 8 transform program incumb telecom operators. tech mahindra global footprint oper 31 countri 17 sale offic 15 deliveri centers. assess sei cmmi level 5, tech mahindra' track record valu deliveri support 40,500 profession provid uniqu blend culture, domain expertis depth technolog skill sets. it develop center iso 9001:2008 & bs7799 certified. download ppt photo 1 view contact detail",18105,['Hyderabad'],Quality Analyst,-,ITES,18986
